id,name,battery_power,bluetooth ,clock_speed,front_camera,four_g,int_memory,m_dep,mobile_wt,n_cores,primary_camera,px_height,px_width,ram,screen_height,screen_width ,touch_screen,wifi,warranty ,fingerprint,price
1,SAMSUNG SMARTPHONE GALAXY A31,5000,Bluetooth V 5.0,2,20,1,128,0.8,0.185,8,48,2400,1080,8,15.93,7.31,1,1,1,1,6999
2,SAMSUNG SMARTPHONE GALAXY S21 ULTRA (16+512) PHANTOM BLACK (5G),5000,Bluetooth V 5.1,2.9,40,1,512,0.8,0.227,8,108,3200,1440,16,16.51,7.56,1,1,1,1,45900
3,SAMSUNG SMARTPHONE GALAXY A01 (2+16) BLACK,3000,Bluetooth V 4.2,1.95,5,1,16,0.8,0.149,8,13,1520,720,2,14.62,7,1,1,1,1,3290
4,SAMSUNG SMARTPHONE GALAXY A02S (4+64GB) BLACK,5000,Bluetooth V 4.2,1.8,5,1,64,0.91,0.196,8,13,1600,720,4,16.42,7.59,1,1,1,0,3999
5,SAMSUNG SMARTPHONE GALAXY A12 (4+128GB) BLACK,5000,Bluetooth V 5.0,2.3,8,1,128,0.8,0.205,8,48,1560,720,4,16.4,7.58,1,1,1,1,4999
6,SAMSUNG SMARTPHONE GALAXY A21S (6+128GB) BLACK,5000,Bluetooth V 5.0,2,13,1,128,0.8,0.192,8,48,1600,720,6,16.37,7.53,1,1,1,1,6599
7,SAMSUNG SMARTPHONE GALAXY A30S WHITE,4000,Bluetooth V 5.0,1.8,16,1,64,0.7,0.166,8,25,1560,720,4,15.85,7.47,1,1,1,1,7990
8,SAMSUNG SMARTPHONE GALAXY A32 (8+128) AWESOME BLACK,5000,Bluetooth V 5.0,2,20,1,128,0.84,0.184,8,64,2400,1080,8,15.89,7.36,1,1,1,1,8499
9,SAMSUNG SMARTPHONE GALAXY A42 (8+128) PRISM DOT BLACK (5G),5000,Bluetooth V 5.0,2.2,20,1,128,0.8,0.193,8,48,1600,720,8,16.44,7.59,1,1,1,1,10999
10,SAMSUNG SMARTPHONE GALAXY A71 (8+128GB) PRISM CRUSH BLACK,4500,Bluetooth V 5.0,2.2,32,1,128,0.7,0.179,8,64,2400,1080,8,16.36,7.6,1,1,1,1,11990
